Id,Title,Method,Target,Operator,Expected,ExpectedData,ExpectedJson,TargetsJson,ValueType,SourceType,RegOption,CheckType
1.1.1,Ensure 'Enforce password history' is set to '24 or more password(s)',AccountPolicy,PasswordHistorySize,Range,[24..MAX],,,,POLICY_DWORD,PASSWORD_POLICY,,
1.1.2,"Ensure 'Maximum password age' is set to '365 or fewer days, but not 0'",AccountPolicy,MaximumPasswordAge,Range,[1..365],,,,TIME_DAY,PASSWORD_POLICY,,
1.1.3,Ensure 'Minimum password age' is set to '1 or more day(s)',AccountPolicy,MinimumPasswordAge,Range,[1..MAX],,,,TIME_DAY,PASSWORD_POLICY,,
1.1.4,Ensure 'Minimum password length' is set to '14 or more character(s)',AccountPolicy,MinimumPasswordLength,Range,[14..MAX],,,,POLICY_DWORD,PASSWORD_POLICY,,
1.1.5,Ensure 'Password must meet complexity requirements' is set to 'Enabled',AccountPolicy,PasswordComplexity,Equals,Enabled,,,,POLICY_SET,PASSWORD_POLICY,,
1.1.6,Ensure 'Relax minimum password length limits' is set to 'Enabled',Registry,,AllTargets,1,,,"[{""Path"":""HKLM\\System\\CurrentControlSet\\Control\\SAM"",""Name"":""RelaxMinimumPasswordLengthLimits"",""ValueType"":""POLICY_DWORD"",""Operator"":""Equals"",""Expected"":""1"",""ExpectedData"":"""",""ExpectedJson"":"""",""RegOption"":""CAN_NOT_BE_NULL"",""CheckType"":""""}]",,REGISTRY_SETTING,,
1.1.7,Ensure 'Store passwords using reversible encryption' is set to 'Disabled',AccountPolicy,ClearTextPassword,Equals,Disabled,,,,POLICY_SET,PASSWORD_POLICY,,
1.2.1,Ensure 'Account lockout duration' is set to '15 or more minute(s)',AccountPolicy,LockoutDuration,Range,[15..MAX],,,,TIME_MINUTE,LOCKOUT_POLICY,,
1.2.2,"Ensure 'Account lockout threshold' is set to '5 or fewer invalid logon attempt(s), but not 0'",AccountPolicy,LockoutBadCount,Range,[1..5],,,,POLICY_DWORD,LOCKOUT_POLICY,,
1.2.3,Ensure 'Allow Administrator account lockout' is set to 'Enabled',AccountPolicy,AllowAdministratorLockout,Equals,Enabled,,,,POLICY_SET,PASSWORD_POLICY,,
1.2.4,Ensure 'Reset account lockout counter after' is set to '15 or more minute(s)',AccountPolicy,ResetLockoutCount,Range,[15..MAX],,,,TIME_MINUTE,LOCKOUT_POLICY,,
2.2.1,Ensure 'Access Credential Manager as a trusted caller' is set to 'No One',UserRight,SeTrustedCredManAccessPrivilege,ExactAlternatives,,~,"[[""""]]",,USER_RIGHT,USER_RIGHTS_POLICY,,
2.2.2,"Ensure 'Access this computer from the network' is set to 'Administrators, Remote Desktop Users'",UserRight,SeNetworkLogonRight,ExactAlternatives,"""Administrators"" && ""Remote Desktop Users""","QWRtaW5pc3RyYXRvcnM=,UmVtb3RlIERlc2t0b3AgVXNlcnM=","[[""Administrators"",""Remote Desktop Users""]]",,USER_RIGHT,USER_RIGHTS_POLICY,,
2.2.3,Ensure 'Act as part of the operating system' is set to 'No One',UserRight,SeTcbPrivilege,ExactAlternatives,,~,"[[""""]]",,USER_RIGHT,USER_RIGHTS_POLICY,,
2.2.4,"Ensure 'Adjust memory quotas for a process' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE'",UserRight,SeIncreaseQuotaPrivilege,ExactAlternatives,"""Administrators"" && ""LOCAL SERVICE"" && ""NETWORK SERVICE""","QWRtaW5pc3RyYXRvcnM=,TE9DQUwgU0VSVklDRQ==,TkVUV09SSyBTRVJWSUNF","[[""Administrators"",""LOCAL SERVICE"",""NETWORK SERVICE""]]",,USER_RIGHT,USER_RIGHTS_POLICY,,
2.2.5,"Ensure 'Allow log on locally' is set to 'Administrators, Users'",UserRight,SeInteractiveLogonRight,ExactAlternatives,"""Administrators"" && ""Users""","QWRtaW5pc3RyYXRvcnM=,VXNlcnM=","[[""Administrators"",""Users""]]",,USER_RIGHT,USER_RIGHTS_POLICY,,
2.2.6,"Ensure 'Allow log on through Remote Desktop Services' is set to 'Administrators, Remote Desktop Users'",UserRight,SeRemoteInteractiveLogonRight,ExactAlternatives,"""Administrators"" && ""Remote Desktop Users""","QWRtaW5pc3RyYXRvcnM=,UmVtb3RlIERlc2t0b3AgVXNlcnM=","[[""Administrators"",""Remote Desktop Users""]]",,USER_RIGHT,USER_RIGHTS_POLICY,,
2.2.7,Ensure 'Back up files and directories' is set to 'Administrators',UserRight,SeBackupPrivilege,ExactAlternatives,Administrators,QWRtaW5pc3RyYXRvcnM=,"[[""Administrators""]]",,USER_RIGHT,USER_RIGHTS_POLICY,,
2.2.8,"Ensure 'Change the system time' is set to 'Administrators, LOCAL SERVICE'",UserRight,SeSystemTimePrivilege,ExactAlternatives,"""Administrators"" && ""LOCAL SERVICE""","QWRtaW5pc3RyYXRvcnM=,TE9DQUwgU0VSVklDRQ==","[[""Administrators"",""LOCAL SERVICE""]]",,USER_RIGHT,USER_RIGHTS_POLICY,,
2.2.9,Ensure 'Create a pagefile' is set to 'Administrators',UserRight,SeCreatePagefilePrivilege,ExactAlternatives,Administrators,QWRtaW5pc3RyYXRvcnM=,"[[""Administrators""]]",,USER_RIGHT,USER_RIGHTS_POLICY,,
2.2.10,Ensure 'Create a token object' is set to 'No One',UserRight,SeCreateTokenPrivilege,ExactAlternatives,,~,"[[""""]]",,USER_RIGHT,USER_RIGHTS_POLICY,,
2.2.11,"Ensure 'Create global objects' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE'",UserRight,SeCreateGlobalPrivilege,ExactAlternatives,"""Administrators"" && ""LOCAL SERVICE"" && ""NETWORK SERVICE"" && ""SERVICE""","QWRtaW5pc3RyYXRvcnM=,TE9DQUwgU0VSVklDRQ==,TkVUV09SSyBTRVJWSUNF,U0VSVklDRQ==","[[""Administrators"",""LOCAL SERVICE"",""NETWORK SERVICE"",""SERVICE""]]",,USER_RIGHT,USER_RIGHTS_POLICY,,
2.2.12,Ensure 'Create permanent shared objects' is set to 'No One',UserRight,SeCreatePermanentPrivilege,ExactAlternatives,,~,"[[""""]]",,USER_RIGHT,USER_RIGHTS_POLICY,,
