Id,Title,AssessmentStatus,Method,Target,Operator,Expected,TargetsJson,ManualReason
1.1.1,Ensure 'Enforce password history' is set to '24 or more password(s)',Automated,AccountPolicy,PasswordHistorySize,Min,24 or more password(s),,
1.1.2,"Ensure 'Maximum password age' is set to '365 or fewer days, but not 0'",Automated,AccountPolicy,MaximumPasswordAge,NonZeroMax,"365 or fewer days, but not 0",,
1.1.3,Ensure 'Minimum password age' is set to '1 or more day(s)',Automated,AccountPolicy,MinimumPasswordAge,Min,1 or more day(s),,
1.1.4,Ensure 'Minimum password length' is set to '14 or more character(s)',Automated,AccountPolicy,MinimumPasswordLength,Min,14 or more character(s),,
1.1.5,Ensure 'Password must meet complexity requirements' is set to 'Enabled',Automated,AccountPolicy,PasswordComplexity,EqualsNumber,Enabled,,
1.1.6,Ensure 'Relax minimum password length limits' is set to 'Enabled',Automated,Registry,,,HKLM\System\CurrentControlSet\Control\SAM:RelaxMinimumPasswordLengthLimits EqualsNumber 1,"[{""Path"":""HKLM\\System\\CurrentControlSet\\Control\\SAM"",""Name"":""RelaxMinimumPasswordLengthLimits"",""Operator"":""EqualsNumber"",""Expected"":""1""}]",
1.1.7,Ensure 'Store passwords using reversible encryption' is set to 'Disabled',Automated,AccountPolicy,ClearTextPassword,EqualsNumber,Disabled,,
1.2.1,Ensure 'Account lockout duration' is set to '15 or more minute(s)',Automated,AccountPolicy,LockoutDuration,Min,15 or more minute(s),,
1.2.2,"Ensure 'Account lockout threshold' is set to '5 or fewer invalid logon attempt(s), but not 0'",Automated,AccountPolicy,LockoutBadCount,NonZeroMax,"5 or fewer invalid logon attempt(s), but not 0",,
1.2.3,Ensure 'Allow Administrator account lockout' is set to 'Enabled',Manual,Manual,,,Enabled,,CIS marks this recommendation as Manual.
1.2.4,Ensure 'Reset account lockout counter after' is set to '15 or more minute(s)',Automated,AccountPolicy,ResetLockoutCount,Min,15 or more minute(s),,
2.2.1,Ensure 'Access Credential Manager as a trusted caller' is set to 'No One',Automated,UserRight,SeTrustedCredManAccessPrivilege,ExactSet,No One,,
2.2.2,"Ensure 'Access this computer from the network' is set to 'Administrators, Remote Desktop Users'",Automated,UserRight,SeNetworkLogonRight,ExactSet,Administrators;Remote Desktop Users,,
2.2.3,Ensure 'Act as part of the operating system' is set to 'No One',Automated,UserRight,SeTcbPrivilege,ExactSet,No One,,
2.2.4,"Ensure 'Adjust memory quotas for a process' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE'",Automated,UserRight,SeIncreaseQuotaPrivilege,ExactSet,Administrators;LOCAL SERVICE;NETWORK SERVICE,,
2.2.5,"Ensure 'Allow log on locally' is set to 'Administrators, Users'",Automated,UserRight,SeInteractiveLogonRight,ExactSet,Administrators;Users,,
2.2.6,"Ensure 'Allow log on through Remote Desktop Services' is set to 'Administrators, Remote Desktop Users'",Automated,UserRight,SeRemoteInteractiveLogonRight,ExactSet,Administrators;Remote Desktop Users,,
2.2.7,Ensure 'Back up files and directories' is set to 'Administrators',Automated,UserRight,SeBackupPrivilege,ExactSet,Administrators,,
2.2.8,"Ensure 'Change the system time' is set to 'Administrators, LOCAL SERVICE'",Automated,UserRight,SeSystemtimePrivilege,ExactSet,Administrators;LOCAL SERVICE,,
2.2.9,Ensure 'Create a pagefile' is set to 'Administrators',Automated,UserRight,SeCreatePagefilePrivilege,ExactSet,Administrators,,
2.2.10,Ensure 'Create a token object' is set to 'No One',Automated,UserRight,SeCreateTokenPrivilege,ExactSet,No One,,
2.2.11,"Ensure 'Create global objects' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE'",Automated,UserRight,SeCreateGlobalPrivilege,ExactSet,Administrators;LOCAL SERVICE;NETWORK SERVICE;SERVICE,,
2.2.12,Ensure 'Create permanent shared objects' is set to 'No One',Automated,UserRight,SeCreatePermanentPrivilege,ExactSet,No One,,
2.2.13,Ensure 'Create symbolic links' is set to 'Administrators',Automated,UserRight,SeCreateSymbolicLinkPrivilege,ExactSet,Administrators,,
2.2.14,Ensure 'Debug programs' is set to 'Administrators',Automated,UserRight,SeDebugPrivilege,ExactSet,Administrators,,
2.2.15,"Ensure 'Deny access to this computer from the network' to include 'Guests, Local account'",Automated,UserRight,SeDenyNetworkLogonRight,Includes,Guests;Local account,,
2.2.16,Ensure 'Deny log on as a batch job' to include 'Guests',Automated,UserRight,SeDenyBatchLogonRight,Includes,Guests,,
2.2.17,Ensure 'Deny log on as a service' to include 'Guests',Automated,UserRight,SeDenyServiceLogonRight,Includes,Guests,,
2.2.18,Ensure 'Deny log on locally' to include 'Guests',Automated,UserRight,SeDenyInteractiveLogonRight,Includes,Guests,,
2.2.19,"Ensure 'Deny log on through Remote Desktop Services' to include 'Guests, Local account'",Automated,UserRight,SeDenyRemoteInteractiveLogonRight,Includes,Guests;Local account,,
2.2.20,Ensure 'Enable computer and user accounts to be trusted for delegation' is set to 'No One',Automated,UserRight,SeEnableDelegationPrivilege,ExactSet,No One,,
2.2.21,Ensure 'Force shutdown from a remote system' is set to 'Administrators',Automated,UserRight,SeRemoteShutdownPrivilege,ExactSet,Administrators,,
2.2.22,"Ensure 'Generate security audits' is set to 'LOCAL SERVICE, NETWORK SERVICE, RESTRICTED SERVICES\PrintSpoolerService'",Automated,UserRight,SeAuditPrivilege,ExactSet,LOCAL SERVICE;NETWORK SERVICE;RESTRICTED SERVICES\PrintSpoolerService,,
2.2.23,"Ensure 'Impersonate a client after authentication' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE, RESTRICTED SERVICES\PrintSpoolerService'",Automated,UserRight,SeImpersonatePrivilege,ExactSet,Administrators;LOCAL SERVICE;NETWORK SERVICE;SERVICE;RESTRICTED SERVICES\PrintSpoolerService,,
2.2.24,"Ensure 'Increase scheduling priority' is set to 'Administrators, Window Manager\Window Manager Group'",Automated,UserRight,SeIncreaseBasePriorityPrivilege,ExactSet,Administrators;Window Manager\Window Manager Group,,
2.2.25,Ensure 'Load and unload device drivers' is set to 'Administrators',Automated,UserRight,SeLoadDriverPrivilege,ExactSet,Administrators,,
